FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,DATE_CREATED,DATE_EDITED
1520659,Heather Lake,Lake,WA,53,Okanogan,047,485840N,1204422W,48.9777209,-120.7395064,1728,5669,09/10/1979,05/06/2019
1520660,Heather Lake,Lake,WA,53,Chelan,007,475120N,1210751W,47.8555332,-121.1308885,1206,3957,09/10/1979,05/04/2019
1520681,Lake Helen,Lake,WA,53,Pierce,053,464958N,1215649W,46.8328984,-121.9468916,1410,4626,09/10/1979,07/24/2019
1520683,Helena Lake,Lake,WA,53,Snohomish,061,480804N,1213331W,48.1343371,-121.5587443,930,3051,09/10/1979,05/14/2019
1520691,Hell Lake,Lake,WA,53,Yakima,077,463722N,1212206W,46.6227409,-121.3684357,1655,5430,09/10/1979,03/19/2019
1520713,Hempel Lake,Lake,WA,53,Snohomish,061,480328N,1214516W,48.0577898,-121.7544102,946,3104,12/31/1992,05/14/2019
1520714,Hen Skin Lake,Lake,WA,53,Pierce,053,465506N,1212902W,46.9183715,-121.4838358,1661,5449,09/10/1979,07/24/2019
1520724,Henry Lake,Lake,WA,53,Lewis,041,464318N,1212316W,46.7216524,-121.3877075,1573,5161,09/10/1979,04/10/2019
1520725,Hereford Meadow,Lake,WA,53,Kittitas,037,470416N,1210410W,47.0710693,-121.0694399,1767,5797,09/10/1979,03/20/2019
1520726,Lake Heritage,Lake,WA,53,Stevens,065,483807N,1173129W,48.6351866,-117.5247364,961,3153,09/10/1979,05/03/2019
1520732,Hess Lake,Lake,WA,53,Okanogan,047,483023N,1193831W,48.506374,-119.6419435,427,1401,09/10/1979,05/08/2019
1520733,Hester Lake,Lake,WA,53,King,033,473032N,1212337W,47.5087791,-121.3936261,1186,3891,09/10/1979,05/14/2019
1520737,Hibox Lake,Lake,WA,53,Kittitas,037,472514N,1211634W,47.420586,-121.2762043,1413,4636,09/10/1979,04/22/2020
1520738,Hi-Low Lake,Lake,WA,53,King,033,473226N,1212638W,47.5405255,-121.4438811,1202,3944,09/10/1979,05/14/2019
1520751,Hidden Lake,Lake,WA,53,Skagit,057,482944N,1211119W,48.4956118,-121.1887209,1749,5738,09/10/1979,04/22/2019
1520752,Hidden Lake,Lake,WA,53,Skamania,059,460247N,1214421W,46.0464936,-121.7392694,1239,4065,09/10/1979,10/10/2019
1520753,Hidden Lake,Lake,WA,53,Pierce,053,465630N,1213553W,46.9416473,-121.5980373,1806,5925,09/10/1979,05/18/2019
1520754,Hidden Lake,Lake,WA,53,Pierce,053,470033N,1212638W,47.0092741,-121.4437745,1275,4183,09/10/1979,07/24/2019
1520755,Hidden Lake,Lake,WA,53,Chelan,007,474913N,1204852W,47.8203869,-120.8144317,692,2270,09/10/1979,10/07/2020
1520756,Hidden Lake,Lake,WA,53,Clallam,009,475645N,1235012W,47.9458478,-123.836767,862,2828,09/10/1979,04/09/2019
1520761,Hidden Lakes,Lake,WA,53,Okanogan,047,485445N,1202923W,48.9123624,-120.4898296,1373,4505,09/10/1979,""
1520779,High Lake,Lake,WA,53,Stevens,065,482103N,1174820W,48.3507358,-117.8055811,1070,3510,09/10/1979,04/22/2020
1520799,Highwood Lake,Lake,WA,53,Whatcom,073,485152N,1214031W,48.8645459,-121.6752035,1251,4104,09/10/1979,06/14/2021
1520803,Lake Hildebrand,Lake,WA,53,Whatcom,073,484245N,1215512W,48.7126168,-121.9198709,1065,3494,09/10/1979,""
1520808,Hill Lake,Lake,WA,53,Yakima,077,464154N,1212058W,46.6982448,-121.3494199,1559,5115,09/10/1979,03/19/2019
1520809,Hill Lake,Lake,WA,53,Stevens,065,483853N,1180016W,48.6480419,-118.0043409,713,2339,09/10/1979,06/26/2019
1520814,Hilt Lake,Lake,WA,53,Skagit,057,482525N,1213300W,48.423536,-121.5500243,331,1086,09/10/1979,05/14/2019
1520821,Hinter Lake,Lake,WA,53,King,033,473651N,1212137W,47.6142171,-121.3602113,1325,4347,09/10/1979,05/21/2019
1520823,Hirsch Pond,Lake,WA,53,Stevens,065,480946N,1173851W,48.1627378,-117.6476348,655,2149,09/10/1979,05/03/2019
1520844,Hoh Lake,Lake,WA,53,Clallam,009,475356N,1234710W,47.8989253,-123.7860876,1385,4544,09/10/1979,04/09/2019
1520856,Holden Lake,Lake,WA,53,Chelan,007,481353N,1205001W,48.2314826,-120.8335481,1610,5282,09/10/1979,05/04/2019
1520872,Holmstedt Lake,Lake,WA,53,Skamania,059,461941N,1220743W,46.3280206,-122.1287176,1548,5079,09/10/1979,04/02/2019
1520876,Home Lake,Lake,WA,53,Jefferson,031,474618N,1230950W,47.7717036,-123.1639839,1620,5315,09/10/1979,05/21/2019
1520882,Honey Lake,Lake,WA,53,King,033,473528N,1213403W,47.5910774,-121.5675229,989,3245,09/10/1979,05/14/2019
1520888,Honour Lake,Lake,WA,53,Chelan,007,474315N,1205301W,47.7207403,-120.8835466,1594,5230,09/10/1979,05/04/2019
1520889,Hoo Hoo Lake (historical),Lake,WA,53,Skamania,059,461038N,1220320W,46.1773343,-122.0556465,500,1640,09/10/1979,07/25/2011
1520900,Hooknose Lake,Lake,WA,53,Stevens,065,485657N,1172601W,48.9490974,-117.4336308,1837,6027,09/10/1979,06/29/2020
1520907,Hope Lake,Lake,WA,53,Chelan,007,474157N,1210524W,47.6990571,-121.0900506,1338,4390,09/10/1979,05/04/2019
1520912,Hopkins Lake,Lake,WA,53,Okanogan,047,485530N,1204602W,48.9248643,-120.7670984,1886,6188,09/10/1979,05/06/2019
1520933,Horse Lake,Lake,WA,53,Chelan,007,472701N,1202424W,47.4503066,-120.4066859,767,2516,09/10/1979,05/04/2019
1520934,Horse Lake,Lake,WA,53,Skagit,057,481924N,1211250W,48.3231981,-121.2139528,1349,4426,09/10/1979,05/14/2019
1520952,Horseshoe Lake,Lake,WA,53,Skamania,059,461831N,1213410W,46.3086741,-121.5694976,1264,4147,09/10/1979,04/10/2019
1520953,Horseshoe Lake,Lake,WA,53,Okanogan,047,485123N,1192534W,48.856253,-119.4260465,275,902,09/10/1979,05/08/2019
1520954,Horseshoe Lake,Lake,WA,53,Pierce,053,465453N,1221619W,46.9145968,-122.2719215,225,738,09/10/1979,05/15/2019
1520955,Horseshoe Lake,Lake,WA,53,Chelan,007,472938N,1205429W,47.4939267,-120.907964,1911,6270,09/10/1979,05/04/2019
1520956,Horseshoe Lake,Lake,WA,53,King,033,473204N,1212521W,47.5344612,-121.4224066,1191,3907,09/10/1979,05/14/2019
1520957,Horseshoe Lake,Lake,WA,53,Pend Oreille,051,480641N,1172500W,48.1114924,-117.4165613,602,1975,09/10/1979,05/14/2019
1520958,Horseshoe Lake,Lake,WA,53,Okanogan,047,483227N,1193606W,48.5409429,-119.6016279,726,2382,09/10/1979,05/08/2019
1520959,Horseshoe Lake,Lake,WA,53,King,033,473014N,1213008W,47.5037516,-121.5023424,1300,4265,09/10/1979,05/14/2019
1520960,Horseshoe Lake,Lake,WA,53,Jefferson,031,475351N,1224513W,47.8975186,-122.7534978,101,331,09/10/1979,05/17/2019
1520961,Horseshoe Lake,Lake,WA,53,Stevens,065,481618N,1173719W,48.271665,-117.6220152,935,3068,09/10/1979,05/03/2019
1520971,Horseshoe Slough,Lake,WA,53,King,033,473723N,1215521W,47.6231758,-121.922479,18,59,09/10/1979,05/14/2019
